symptoms,care_type
"Toux sèche, fièvre légère, mal de gorge","respiratory_infection"
"Toux productive, difficulté à respirer, fatigue","respiratory_infection"
"Mal de tête intense, raideur nuque, fièvre élevée","meningitis"
"Maux de gorge, amygdales enflées, fièvre 39°C","respiratory_infection"
"Respiration sifflante, insuffisance respiratoire, crise d'asthme","respiratory_infection"
"Douleur thoracique aiguë, pression thoracique, sueurs froides","cardiac_emergency"
"Palpitations rapides, vertige, fatigue extrême","cardiac_emergency"
"Tension artérielle élevée, céphalée, nausées","hypertension_management"
"Douleur thoracique, essoufflement à l'effort, œdème des jambes","cardiac_emergency"
"Rythme cardiaque irrégulier, syncope, douleur pectorale","cardiac_emergency"
"Douleur abdominale intense, rigidité, vomissements","urgent_surgery"
"Saignement abdominal, choc hémorragique, perte de conscience","bleeding_emergency"
"Trauma thoracique fermé, fracture côte, dyspnée","trauma_management"
"Plaie lacérée, saignement prolongé, infection","bleeding_emergency"
"Douleur épigastrique, reflux acide, sensation de brûlure","gastroenteritis"
"Diarrhée profuse, vomissements répétés, déshydratation","gastroenteritis"
"Appendicite suspectée, douleur FID, fièvre","urgent_surgery"
"Ulcère gastroduodénal, hématémèse, méléna","gastroenteritis"
"Allergie cutanée, urticaire généralisée, prurit intense","allergy"
"Anaphylaxie, œdème laryngé, choc anaphylactique","allergy_urgent"
"Crise d'asthme sévère, stridor, respiration laborieuse","respiratory_infection"
"Angioœdème, allergie alimentaire, dysphagie","allergy_urgent"
"Migraine sévère, photophobie, nausées débilitantes","neurology_consultation"
"Membre paralysé, faciès asymétrique, aphasie","stroke_emergency"
"Convulsion généralisée, confusion, traumatisme crânien","neurology_urgent"
"Vertige rotatoire, nystagmus, ataxie","neurology_consultation"
"Douleur articulaire généralisée, raideur, gonflement","orthopedics_consultation"
"Hernie discale, sciatique, douleur lombaire radiculée","orthopedics_consultation"
"Tendinite, douleur à la mobilisation, inflammation","orthopedics_consultation"
"Fracture soupçonnée, œdème, impotence fonctionnelle","trauma_management"
"Fièvre persistante, frissons, myalgies intenses","infectious_disease"
"Paludisme confirmé, ictère, hématurie","infectious_disease"
"Typhoïde suspecte, céphalée, douleur abdominale","infectious_disease"
"Dengue hémorragique, thrombocytopénie, pétéchies","infectious_disease"
"Coqueluche, toux paroxystique, apnée tardive","respiratory_infection"
"Varicelle compliquée, infection secondaire, encéphalite","pediatric_infectious"
"Rougeole, énanthème, complications respiratoires","pediatric_infectious"
"Croup fébrile, stridor inspiratoire, dyspnée","pediatric_respiratory"
"Eczéma sévère, surinfection bactérienne, exsudation","dermatology_consultation"
"Psoriasis généralisé, plaques érythémateuses, impair cutanée","dermatology_consultation"
"Infection fongique, dermatomycose, réaction inflammatoire","dermatology_consultation"
"Gale, prurit intense, lésions noduleuses","dermatology_consultation"
"Infection urinaire, dysurie, pollakiurie","urology_consultation"
"Colique rénale, hématurie, douleur lombaire","urology_consultation"
"Prostatite, dysurie, fièvre, rétention urinaire","urology_consultation"
